comments_before_basetime,comments_24_basetime,comments_48_24,comments_publ_24,Diff_52_53,links_before_basetime,links_24_basetime,links_48_24,links_publ_24,diff_8_7,Target
2,2,0,2,2,0,0,0,0,0,0
6,2,4,5,-2,0,0,0,0,0,2
6,2,4,5,-2,0,0,0,0,0,0
2,2,0,2,2,0,0,0,0,0,0
3,1,2,2,-1,0,0,0,0,0,0
6,0,2,5,-2,0,0,0,0,0,0
6,0,2,5,-2,0,0,0,0,0,4
3,1,2,2,-1,0,0,0,0,0,1
30,27,1,2,26,0,0,0,0,0,1
30,27,1,2,26,0,0,0,0,0,0
0,0,0,0,0,2,2,0,2,2,0
0,0,0,0,0,2,0,2,2,-2,0
30,30,0,30,30,1,1,0,1,1,0
0,0,0,0,0,2,0,0,2,0,0
51,51,0,51,51,3,3,0,3,3,2
10,10,0,10,10,0,0,0,0,0,0
32,2,30,32,-28,2,1,1,2,0,0
10,10,0,10,10,0,0,0,0,0,0
51,51,0,51,51,3,3,0,3,3,0
64,13,51,64,-38,4,1,3,4,-2,0
25,15,10,10,5,0,0,0,0,0,6
35,3,2,32,1,2,0,1,2,-1,0
25,15,10,10,5,0,0,0,0,0,2
64,13,51,64,-38,4,1,3,4,-2,129
65,1,13,64,-12,4,0,1,4,-1,228
46,21,15,10,6,0,0,0,0,0,0
46,21,15,10,6,0,0,0,0,0,0
65,1,13,64,-12,4,0,1,4,-1,0
2,2,0,2,2,0,0,0,0,0,0
2,2,0,2,2,0,0,0,0,0,0
4,2,2,2,0,0,0,0,0,0,0
4,2,2,2,0,0,0,0,0,0,0
9,5,2,2,3,0,0,0,0,0,1
9,5,2,2,3,0,0,0,0,0,0
377,377,0,377,377,1,1,0,1,1,0
1,1,0,1,1,1,0,0,1,0,0
1,1,0,1,1,1,0,0,1,0,2
398,21,377,378,-356,1,0,1,1,-1,0
1,1,0,1,1,1,0,0,1,0,1
1,0,1,1,-1,1,0,0,1,0,0
1,0,1,1,-1,1,0,0,1,0,0
401,3,21,378,-18,1,0,0,1,0,0
1,0,1,1,-1,1,0,0,1,0,0
1,0,0,1,0,1,0,0,1,0,0
1,0,0,1,0,1,0,0,1,0,0
1,0,0,1,0,1,0,0,1,0,1
7,7,0,7,7,0,0,0,0,0,4
21,14,7,10,7,1,1,0,1,1,0
33,12,14,10,-2,1,0,1,1,-1,0
2,2,0,2,2,0,0,0,0,0,0
2,2,0,2,2,0,0,0,0,0,0
2,2,0,2,2,0,0,0,0,0,1
2,0,2,2,-2,0,0,0,0,0,0
2,0,2,2,-2,0,0,0,0,0,0
2,0,2,2,-2,0,0,0,0,0,0
2,0,0,2,0,0,0,0,0,0,1
2,0,0,2,0,0,0,0,0,0,0
2,0,0,2,0,0,0,0,0,0,0
26,26,0,26,26,0,0,0,0,0,6
33,7,26,28,-19,0,0,0,0,0,0
36,3,7,28,-4,0,0,0,0,0,5
51,51,0,51,51,0,0,0,0,0,0
51,51,0,51,51,0,0,0,0,0,0
52,1,51,51,-50,0,0,0,0,0,0
52,1,51,51,-50,0,0,0,0,0,0
54,2,1,51,1,0,0,0,0,0,0
54,2,1,51,1,0,0,0,0,0,2
14,14,0,14,14,0,0,0,0,0,48
18,18,0,18,18,1,1,0,1,1,0
14,14,0,14,14,0,0,0,0,0,0
19,5,14,14,-9,0,0,0,0,0,1
35,17,18,33,-1,1,0,1,1,-1,43
19,5,14,14,-9,0,0,0,0,0,0
19,0,5,14,-5,0,0,0,0,0,0
37,2,17,33,-15,1,0,0,1,0,6
19,0,5,14,-5,0,0,0,0,0,0
10,10,0,10,10,0,0,0,0,0,6
18,8,10,14,-2,0,0,0,0,0,6
18,0,8,14,-8,0,0,0,0,0,0
35,35,0,35,35,0,0,0,0,0,0
71,36,35,68,1,0,0,0,0,0,0
72,1,36,68,-35,0,0,0,0,0,0
5,5,0,5,5,2,2,0,2,2,0
62,62,0,62,62,0,0,0,0,0,0
17,12,5,8,7,2,0,2,2,-2,0
62,62,0,62,62,0,0,0,0,0,6
71,9,62,68,-53,0,0,0,0,0,0
25,8,12,8,-4,2,0,0,2,0,0
71,9,62,68,-53,0,0,0,0,0,0
79,8,9,68,-1,0,0,0,0,0,0
79,8,9,68,-1,0,0,0,0,0,0
59,59,0,59,59,3,3,0,3,3,0
59,59,0,59,59,3,3,0,3,3,0
62,3,59,62,-56,3,0,3,3,-3,1
62,3,59,62,-56,3,0,3,3,-3,0
64,2,3,62,-1,3,0,0,3,0,24
64,2,3,62,-1,3,0,0,3,0,0
1,1,0,1,1,0,0,0,0,0,36
1,1,0,1,1,0,0,0,0,0,1
4,3,1,1,2,0,0,0,0,0,0
4,3,1,1,2,0,0,0,0,0,0
6,2,3,1,-1,0,0,0,0,0,0
6,2,3,1,-1,0,0,0,0,0,0
5,5,0,5,5,0,0,0,0,0,0
31,26,5,31,21,3,3,0,3,3,0
33,2,26,31,-24,3,0,3,3,-3,0
5,5,0,5,5,0,0,0,0,0,0
10,5,5,7,0,0,0,0,0,0,0
13,13,0,13,13,2,2,0,2,2,0
11,1,5,7,-4,0,0,0,0,0,21
13,13,0,13,13,2,2,0,2,2,0
16,3,13,15,-10,2,0,2,2,-2,78
16,3,13,15,-10,2,0,2,2,-2,0
40,24,3,15,21,2,0,0,2,0,0
40,24,3,15,21,2,0,0,2,0,0
53,53,0,53,53,1,1,0,1,1,0
56,3,53,53,-50,1,0,1,1,-1,0
116,116,0,116,116,1,1,0,1,1,0
57,1,3,53,-2,1,0,0,1,0,0
187,71,116,179,-45,2,1,1,2,0,0
187,0,71,179,-71,2,0,1,2,-1,0
46,46,0,46,46,0,0,0,0,0,0
46,46,0,46,46,0,0,0,0,0,1
46,46,0,46,46,0,0,0,0,0,0
51,5,46,47,-41,0,0,0,0,0,1
51,5,46,47,-41,0,0,0,0,0,0
51,5,46,47,-41,0,0,0,0,0,0
55,4,5,47,-1,0,0,0,0,0,2
